2025-07-28 07:56:32 | INFO | ERPConnectionEntity initialized with mandant %s
2025-07-28 07:56:39 | INFO | BpNT.Application dispatched successfully
2025-07-28 07:56:39 | INFO | Mandant set to %s
2025-07-28 07:56:39 | INFO | Try updating order 75541 with payment status: 10 and order status: 2
2025-07-28 07:56:41 | INFO | ERP connected: mandant=%s, user=%s
2025-07-28 07:56:42 | INFO | Object Adressen destroyed
2025-07-28 07:56:42 | INFO | Object Adressen destroyed
2025-07-28 07:56:42 | INFO | Object Anschriften destroyed
2025-07-28 07:56:42 | INFO | ERPOrderController initialized, last_sync_date=%s
2025-07-28 07:56:42 | INFO | Retrieving positions for order %s
2025-07-28 07:56:42 | INFO | Retrieved %d positions for order %s
2025-07-28 07:56:42 | INFO | looking for
2025-07-28 07:56:43 | INFO | 581001 Quick-Tabs gelb
2025-07-28 07:56:43 | INFO | Add Position: 
2025-07-28 07:56:43 | INFO | Object Artikel destroyed
2025-07-28 07:56:43 | INFO | 254526 Multifach-Mappen 5F
2025-07-28 07:56:43 | INFO | Add Position: 
2025-07-28 07:56:43 | INFO | Object Artikel destroyed
2025-07-28 07:56:43 | INFO | Object Artikel destroyed
2025-07-28 07:56:44 | INFO | ERP connection closed successfully.
2025-07-28 07:56:44 | INFO | Object Vorgang destroyed
2025-07-28 07:56:44 | INFO | No ERP connection to close.
2025-07-28 08:00:13 | INFO | ERPConnectionEntity initialized with mandant %s
2025-07-28 08:00:18 | INFO | BpNT.Application dispatched successfully
2025-07-28 08:00:18 | INFO | Mandant set to %s
2025-07-28 08:00:18 | INFO | Try updating order 75543 with payment status: 10 and order status: 2
2025-07-28 08:00:20 | INFO | ERP connected: mandant=%s, user=%s
2025-07-28 08:00:20 | INFO | Object Adressen destroyed
2025-07-28 08:00:20 | INFO | Object Adressen destroyed
2025-07-28 08:00:20 | INFO | Object Anschriften destroyed
2025-07-28 08:00:20 | INFO | ERPOrderController initialized, last_sync_date=%s
2025-07-28 08:00:20 | INFO | Retrieving positions for order %s
2025-07-28 08:00:20 | INFO | Retrieved %d positions for order %s
2025-07-28 08:00:20 | INFO | looking for
2025-07-28 08:00:21 | INFO | 204113 Orgamappen 120 hg
