2025-05-05 08:34:35 | INFO | ERPConnectionEntity initialized with mandant %s
2025-05-05 08:34:40 | INFO | Try updating order 74593 with payment status: 10 and order status: 2
2025-05-05 08:34:40 | INFO | BpNT.Application dispatched successfully
2025-05-05 08:34:40 | INFO | Mandant set to %s
2025-05-05 08:34:42 | INFO | ERP connected: mandant=%s, user=%s
2025-05-05 08:34:43 | INFO | Object Adressen destroyed
2025-05-05 08:34:43 | INFO | Object Adressen destroyed
2025-05-05 08:34:43 | INFO | Object Anschriften destroyed
2025-05-05 08:34:43 | INFO | ERPOrderController initialized, last_sync_date=%s
2025-05-05 08:34:43 | INFO | Retrieving positions for order %s
2025-05-05 08:34:43 | INFO | Retrieved %d positions for order %s
2025-05-05 08:34:43 | INFO | looking for
2025-05-05 08:34:43 | INFO | 581000 Quick-Tabs weiß
2025-05-05 08:34:43 | INFO | Add Position: 
2025-05-05 08:34:43 | INFO | Object Artikel destroyed
2025-05-05 08:34:43 | INFO | 204116 Orgamappen 170 hg
2025-05-05 08:34:43 | INFO | Add Position: 
2025-05-05 08:34:43 | INFO | Object Artikel destroyed
2025-05-05 08:34:44 | INFO | ERP connection closed successfully.
2025-05-05 08:34:44 | INFO | Object Vorgang destroyed
2025-05-05 08:34:44 | INFO | No ERP connection to close.
2025-05-05 08:39:43 | INFO | ERPConnectionEntity initialized with mandant %s
2025-05-05 08:39:48 | INFO | BpNT.Application dispatched successfully
2025-05-05 08:39:48 | INFO | Mandant set to %s
2025-05-05 08:39:48 | INFO | ERPConnectionEntity initialized with mandant %s
2025-05-05 08:39:48 | INFO | ERPConnectionEntity initialized with mandant %s
2025-05-05 08:39:50 | INFO | ERP connected: mandant=%s, user=%s
2025-05-05 08:39:50 | INFO | ERP connection closed successfully.
2025-05-05 08:39:50 | INFO | Object Adressen destroyed
2025-05-05 08:39:50 | INFO | No ERP connection to close.
2025-05-05 08:39:53 | INFO | BpNT.Application dispatched successfully
2025-05-05 08:39:53 | INFO | Mandant set to %s
2025-05-05 08:39:55 | INFO | ERP connected: mandant=%s, user=%s
2025-05-05 08:39:55 | INFO | ERP connection closed successfully.
2025-05-05 08:39:55 | INFO | Object Adressen destroyed
2025-05-05 08:39:55 | INFO | No ERP connection to close.
2025-05-05 08:39:58 | INFO | BpNT.Application dispatched successfully
2025-05-05 08:39:58 | INFO | Mandant set to %s
2025-05-05 08:40:00 | INFO | ERP connected: mandant=%s, user=%s
2025-05-05 08:40:00 | INFO | Found
2025-05-05 08:40:00 | INFO | Object Anschriften destroyed
2025-05-05 08:40:00 | INFO | Object Ansprechpartner destroyed
2025-05-05 08:40:00 | INFO | ERP connection closed successfully.
2025-05-05 08:40:00 | INFO | Object Adressen destroyed
2025-05-05 08:40:00 | INFO | No ERP connection to close.
2025-05-05 08:40:07 | INFO | ERPConnectionEntity initialized with mandant %s
2025-05-05 08:40:07 | INFO | ERPConnectionEntity initialized with mandant %s
2025-05-05 08:40:11 | INFO | BpNT.Application dispatched successfully
2025-05-05 08:40:11 | INFO | Mandant set to %s
2025-05-05 08:40:13 | INFO | ERP connected: mandant=%s, user=%s
2025-05-05 08:40:14 | INFO | Found
2025-05-05 08:40:14 | INFO | Object Anschriften destroyed
2025-05-05 08:40:14 | INFO | Object Ansprechpartner destroyed
2025-05-05 08:40:14 | INFO | ERP connection closed successfully.
2025-05-05 08:40:14 | INFO | Object Adressen destroyed
2025-05-05 08:40:14 | INFO | No ERP connection to close.
